127.0.0.1 - - [24/Jul/2023:15:36:09 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [24/Jul/2023:15:36:36 +0900] "GET /smart/ HTTP/1.1" 200 5911
0:0:0:0:0:0:0:1 - - [24/Jul/2023:15:36:37 +0900] "GET /smart/js/common.js?Mon%20Jul%2024%2015:36:36%20KST%202023 HTTP/1.1" 200 11479
0:0:0:0:0:0:0:1 - - [24/Jul/2023:15:36:37 +0900] "GET /smart/css/common.css?Mon%20Jul%2024%2015:36:36%20KST%202023 HTTP/1.1" 200 1304
0:0:0:0:0:0:0:1 - - [24/Jul/2023:15:36:37 +0900] "GET /smart/css/styles.css?Mon%20Jul%2024%2015:36:36%20KST%202023 HTTP/1.1" 200 238460
0:0:0:0:0:0:0:1 - - [24/Jul/2023:15:36:37 +0900] "GET /smart/js/scripts.js;jsessionid=0732B088D80EC050C6A356F53ACEE226 HTTP/1.1" 200 974
0:0:0:0:0:0:0:1 - - [24/Jul/2023:15:36:37 +0900] "GET /smart/img/hanul.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2023:15:36:37 +0900] "GET /smart/img/hanul.logo.png;jsessionid=0732B088D80EC050C6A356F53ACEE226 HTTP/1.1" 200 2578
0:0:0:0:0:0:0:1 - - [24/Jul/2023:15:36:37 +0900] "GET /smart/img/hanul.ico;jsessionid=0732B088D80EC050C6A356F53ACEE226 HTTP/1.1" 200 9062
0:0:0:0:0:0:0:1 - - [24/Jul/2023:15:36:44 +0900] "GET /smart/data/list;jsessionid=0732B088D80EC050C6A356F53ACEE226 HTTP/1.1" 200 13802
0:0:0:0:0:0:0:1 - - [24/Jul/2023:15:36:44 +0900] "GET /smart/css/common.css?Mon%20Jul%2024%2015:36:43%20KST%202023 HTTP/1.1" 200 1304
0:0:0:0:0:0:0:1 - - [24/Jul/2023:15:36:44 +0900] "GET /smart/js/common.js?Mon%20Jul%2024%2015:36:43%20KST%202023 HTTP/1.1" 200 11479
0:0:0:0:0:0:0:1 - - [24/Jul/2023:15:36:44 +0900] "GET /smart/css/styles.css?Mon%20Jul%2024%2015:36:43%20KST%202023 HTTP/1.1" 200 238460
0:0:0:0:0:0:0:1 - - [24/Jul/2023:15:36:44 +0900] "GET /smart/js/animal.js?Mon%20Jul%2024%2015:36:44%20KST%202023 HTTP/1.1" 200 2446
0:0:0:0:0:0:0:1 - - [24/Jul/2023:15:36:44 +0900] "GET /smart/js/scripts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2023:15:36:44 +0900] "GET /smart/img/hanul.logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2023:15:36:45 +0900] "GET /smart/data/animal/sido HTTP/1.1" 200 1560
0:0:0:0:0:0:0:1 - - [24/Jul/2023:15:36:45 +0900] "POST /smart/data/animal/list HTTP/1.1" 200 11423
0:0:0:0:0:0:0:1 - - [24/Jul/2023:15:36:48 +0900] "GET /smart/data/animal/sigungu?sido=6290000 HTTP/1.1" 200 826
0:0:0:0:0:0:0:1 - - [24/Jul/2023:15:36:48 +0900] "POST /smart/data/animal/list HTTP/1.1" 200 11298
